Suit_Card_1,Rank_Card_1,Suit_Card_2,Rank_Card_2,Suit_Card_3,Rank_Card_3,Suit_Card_4,Rank_Card_4,Suit_Card_5,Rank_Card_5,Poker_Hand
Hearts,Nine,Clubs,Six,Clubs,Nine,Spades,Nine,Hearts,Ace,Three_Kind
Diamonds,Ten,Hearts,Seven,Clubs,Seven,Clubs,Six,Hearts,Jack,One_Pair
Spades,Ten,Hearts,Four,Diamonds,Queen,Clubs,Nine,Spades,Nine,One_Pair
Spades,Jack,Spades,Three,Diamonds,Ace,Spades,Nine,Diamonds,Two,Nothing
Hearts,King,Hearts,Three,Hearts,Queen,Clubs,Jack,Spades,Queen,One_Pair
Spades,Seven,Hearts,Six,Diamonds,Six,Clubs,King,Clubs,Nine,One_Pair
Spades,Ace,Diamonds,Two,Spades,Ten,Clubs,Ace,Clubs,Queen,One_Pair
Spades,Two,Spades,Eight,Clubs,Nine,Diamonds,Queen,Clubs,Five,Nothing
Clubs,Nine,Spades,Jack,Clubs,Seven,Diamonds,Queen,Hearts,Four,Nothing
Hearts,Six,Diamonds,Nine,Spades,Eight,Spades,Two,Clubs,Nine,One_Pair
Hearts,Seven,Clubs,Four,Clubs,Queen,Diamonds,Seven,Spades,Two,One_Pair
Clubs,Ten,Spades,Ace,Clubs,Jack,Diamonds,Jack,Spades,Jack,Three_Kind
Diamonds,Queen,Hearts,Ace,Diamonds,King,Clubs,Jack,Spades,Seven,Nothing
Clubs,Five,Diamonds,Jack,Spades,Seven,Clubs,Eight,Diamonds,Eight,One_Pair
Diamonds,Four,Spades,Jack,Clubs,Eight,Hearts,Queen,Clubs,Six,Nothing
Clubs,Ace,Diamonds,Ten,Diamonds,Three,Diamonds,King,Diamonds,Jack,Nothing
Spades,Two,Diamonds,Four,Clubs,King,Hearts,Five,Spades,King,One_Pair
Hearts,Two,Spades,Nine,Hearts,Queen,Diamonds,Ten,Hearts,Jack,Nothing
Hearts,Three,Spades,Ace,Diamonds,King,Diamonds,Four,Hearts,Nine,Nothing
Diamonds,Six,Spades,King,Clubs,King,Diamonds,Ten,Spades,Queen,One_Pair
Diamonds,Nine,Clubs,Queen,Clubs,Ten,Hearts,Three,Hearts,Six,Nothing
Clubs,Seven,Diamonds,Two,Clubs,Five,Diamonds,Nine,Spades,Five,One_Pair
Clubs,Two,Spades,Seven,Diamonds,King,Spades,Queen,Hearts,Seven,One_Pair
Spades,Three,Hearts,Five,Diamonds,Seven,Clubs,Ace,Diamonds,Eight,Nothing
Spades,Nine,Hearts,Four,Spades,Five,Spades,Ten,Clubs,Ace,Nothing
Diamonds,Ace,Clubs,Ten,Spades,Ten,Hearts,Five,Spades,Jack,One_Pair
Spades,King,Clubs,Six,Hearts,Jack,Diamonds,Three,Clubs,Seven,Nothing
Clubs,Jack,Diamonds,King,Hearts,Ace,Hearts,King,Spades,Two,One_Pair
Spades,Queen,Spades,Four,Diamonds,Two,Spades,Seven,Clubs,Queen,One_Pair
Hearts,Two,Clubs,Two,Clubs,Ten,Spades,Jack,Diamonds,Ace,One_Pair
Hearts,Four,Hearts,Three,Hearts,Queen,Clubs,Eight,Clubs,King,Nothing
Clubs,Jack,Clubs,Queen,Diamonds,Four,Hearts,Nine,Spades,King,Nothing
Spades,Ten,Diamonds,Nine,Clubs,King,Hearts,Queen,Spades,Seven,Nothing
Clubs,Jack,Clubs,Eight,Diamonds,Two,Clubs,Ten,Diamonds,Three,Nothing
Spades,Ten,Clubs,Three,Clubs,Jack,Hearts,Four,Spades,Seven,Nothing
Diamonds,Ten,Hearts,Nine,Clubs,Three,Spades,Four,Hearts,Four,One_Pair
Diamonds,Queen,Diamonds,Ten,Clubs,Six,Spades,Six,Spades,King,One_Pair
Hearts,Jack,Diamonds,Five,Spades,King,Clubs,Queen,Spades,Two,Nothing
Diamonds,Six,Clubs,Two,Diamonds,Ten,Spades,Seven,Hearts,Eight,Nothing
Clubs,Queen,Diamonds,Ace,Spades,King,Spades,Six,Spades,Ace,One_Pair
Diamonds,Queen,Clubs,Two,Clubs,Three,Diamonds,King,Spades,Eight,Nothing
Clubs,Queen,Spades,Nine,Spades,Five,Spades,Queen,Diamonds,Ten,One_Pair
Spades,Five,Spades,Two,Spades,Eight,Clubs,Six,Hearts,Nine,Nothing
Diamonds,Two,Clubs,Seven,Clubs,Four,Clubs,Five,Hearts,Three,Nothing
Clubs,Ace,Clubs,Seven,Diamonds,Six,Spades,Three,Clubs,Ten,Nothing
Diamonds,Ten,Hearts,Seven,Clubs,Seven,Spades,Six,Spades,Four,One_Pair
Hearts,Jack,Diamonds,Three,Clubs,Queen,Hearts,Four,Hearts,Six,Nothing
Hearts,Two,Diamonds,Four,Hearts,Queen,Spades,Eight,Diamonds,Ace,Nothing
Clubs,Five,Clubs,Seven,Diamonds,Ace,Diamonds,Nine,Spades,Three,Nothing
Spades,King,Clubs,Five,Spades,Jack,Diamonds,Nine,Clubs,Ten,Nothing
Diamonds,Seven,Spades,Three,Diamonds,Queen,Spades,Ten,Spades,Two,Nothing
Hearts,King,Hearts,Eight,Clubs,Six,Hearts,Jack,Spades,Seven,Nothing
Clubs,Queen,Spades,Two,Clubs,Jack,Clubs,Three,Diamonds,Ace,Nothing
Hearts,King,Spades,Five,Clubs,Queen,Spades,Queen,Clubs,Ace,One_Pair
Diamonds,Seven,Hearts,Nine,Spades,Two,Clubs,Six,Clubs,Ace,Nothing
Clubs,Eight,Clubs,Ten,Clubs,Five,Hearts,Jack,Hearts,Nine,Nothing
Hearts,Eight,Clubs,Seven,Clubs,King,Spades,Six,Diamonds,Six,One_Pair
Clubs,Five,Spades,Four,Diamonds,Nine,Hearts,Ten,Spades,King,Nothing
Clubs,Three,Spades,Two,Clubs,Ten,Hearts,Four,Clubs,Jack,Nothing
Diamonds,Eight,Hearts,Eight,Spades,Five,Diamonds,Three,Diamonds,Ace,One_Pair
Diamonds,Seven,Spades,Five,Hearts,Jack,Diamonds,Four,Diamonds,Five,One_Pair
Spades,Four,Hearts,Four,Hearts,Seven,Clubs,Eight,Hearts,Five,One_Pair
Spades,Ten,Diamonds,Ten,Spades,King,Spades,Six,Hearts,Six,Two_Pairs
Clubs,Nine,Diamonds,Jack,Diamonds,Eight,Hearts,Four,Diamonds,King,Nothing
Clubs,Seven,Spades,Queen,Diamonds,Three,Hearts,Eight,Hearts,Seven,One_Pair
Hearts,Five,Hearts,Ace,Diamonds,Three,Spades,Queen,Diamonds,Jack,Nothing
Hearts,Four,Hearts,Six,Clubs,King,Spades,King,Clubs,Three,One_Pair
Clubs,Three,Spades,King,Spades,Four,Diamonds,Seven,Hearts,Two,Nothing
Spades,Seven,Clubs,Ten,Hearts,Ten,Hearts,Two,Clubs,Five,One_Pair
Spades,Nine,Spades,Four,Hearts,Ten,Diamonds,Seven,Spades,Seven,One_Pair
Diamonds,Three,Diamonds,Eight,Clubs,Eight,Hearts,Ace,Hearts,Jack,One_Pair
Clubs,Seven,Clubs,Jack,Diamonds,Five,Diamonds,Queen,Hearts,Three,Nothing
Hearts,Ace,Clubs,Eight,Spades,Four,Diamonds,Ten,Clubs,Five,Nothing
Spades,Queen,Clubs,Two,Hearts,Five,Diamonds,Ten,Hearts,Ten,One_Pair
Clubs,Two,Clubs,Eight,Clubs,Seven,Hearts,Three,Clubs,Six,Nothing
Spades,Four,Hearts,Eight,Hearts,Queen,Hearts,Nine,Clubs,Ten,Nothing
Spades,Three,Hearts,Six,Spades,Queen,Diamonds,Six,Clubs,Five,One_Pair
Diamonds,Ace,Diamonds,Nine,Clubs,King,Hearts,Five,Diamonds,Seven,Nothing
Spades,Six,Clubs,Four,Hearts,King,Clubs,Six,Clubs,Five,One_Pair
Clubs,Three,Clubs,Ten,Spades,Eight,Hearts,Seven,Diamonds,Ten,One_Pair
Diamonds,Ten,Spades,Nine,Hearts,Ace,Spades,Jack,Spades,Eight,Nothing
Clubs,Six,Diamonds,Three,Diamonds,Seven,Spades,Four,Spades,Two,Nothing
Spades,Ace,Spades,Seven,Hearts,Queen,Clubs,Eight,Hearts,Five,Nothing
Clubs,Five,Hearts,Jack,Diamonds,Ten,Hearts,Ace,Diamonds,Ace,One_Pair
Clubs,Ace,Clubs,Jack,Diamonds,Ten,Spades,Nine,Diamonds,Two,Nothing
Diamonds,Jack,Spades,Seven,Spades,Queen,Spades,Five,Hearts,Seven,One_Pair
Diamonds,Ace,Clubs,Six,Clubs,King,Clubs,Jack,Clubs,Queen,Nothing
Hearts,Ace,Spades,Three,Diamonds,Two,Clubs,Ten,Hearts,Nine,Nothing
Hearts,King,Diamonds,Ace,Spades,Ten,Spades,Six,Hearts,Queen,Nothing
Spades,Ten,Diamonds,Ace,Diamonds,Nine,Spades,Nine,Diamonds,Five,One_Pair
Spades,King,Hearts,Ace,Spades,Queen,Hearts,Seven,Spades,Seven,One_Pair
Diamonds,Five,Hearts,Eight,Clubs,Jack,Clubs,Six,Spades,Three,Nothing
Diamonds,Ten,Spades,Three,Spades,Ace,Clubs,Seven,Clubs,Ten,One_Pair
Clubs,Jack,Spades,King,Spades,Eight,Spades,Ace,Clubs,Queen,Nothing
Spades,Five,Hearts,Two,Diamonds,Four,Clubs,Eight,Diamonds,Nine,Nothing
Hearts,Queen,Diamonds,Three,Spades,Two,Spades,Four,Spades,Eight,Nothing
Clubs,Six,Spades,Ten,Spades,Queen,Diamonds,Five,Hearts,Jack,Nothing
Diamonds,Ace,Spades,Jack,Clubs,Jack,Hearts,King,Spades,Two,One_Pair
Spades,Four,Spades,Seven,Clubs,Four,Spades,Six,Spades,Eight,One_Pair
Hearts,Three,Clubs,Three,Clubs,Four,Diamonds,Ace,Clubs,King,One_Pair
Diamonds,Three,Hearts,Ace,Clubs,Three,Spades,King,Clubs,Eight,One_Pair
Clubs,Seven,Hearts,Three,Clubs,Four,Clubs,Ace,Diamonds,Jack,Nothing
Clubs,Two,Spades,Three,Diamonds,Eight,Clubs,Seven,Spades,King,Nothing
Clubs,Five,Spades,Five,Spades,Ace,Clubs,Eight,Hearts,King,One_Pair
Clubs,Nine,Diamonds,King,Clubs,Ten,Spades,Two,Hearts,Seven,Nothing
Spades,Queen,Spades,Nine,Clubs,Ace,Clubs,Two,Hearts,Jack,Nothing
Hearts,Ten,Diamonds,Nine,Diamonds,Ten,Hearts,Eight,Clubs,King,One_Pair
Clubs,Two,Clubs,Four,Hearts,Five,Clubs,Ten,Diamonds,Three,Nothing
Hearts,Three,Clubs,Ten,Clubs,Eight,Clubs,Four,Clubs,King,Nothing
Diamonds,Queen,Spades,Two,Clubs,Jack,Diamonds,Eight,Spades,Ace,Nothing
Hearts,Six,Spades,Ace,Hearts,Eight,Diamonds,Nine,Hearts,Five,Nothing
Spades,Ace,Spades,Nine,Diamonds,Nine,Diamonds,King,Spades,Eight,One_Pair
Clubs,Ten,Hearts,Jack,Diamonds,Queen,Clubs,Five,Diamonds,Six,Nothing
Diamonds,Ten,Hearts,Queen,Hearts,Seven,Diamonds,King,Spades,Queen,One_Pair
Diamonds,Ten,Spades,Seven,Clubs,Two,Diamonds,Queen,Spades,Two,One_Pair
Spades,Seven,Clubs,Nine,Hearts,Five,Diamonds,Nine,Diamonds,Six,One_Pair
Spades,Four,Spades,Two,Spades,Five,Clubs,Ace,Clubs,Four,One_Pair
Diamonds,Ace,Spades,Three,Clubs,Queen,Diamonds,King,Diamonds,Eight,Nothing
Hearts,Queen,Spades,Eight,Spades,Two,Hearts,Ace,Diamonds,Eight,One_Pair
Spades,Queen,Clubs,Five,Diamonds,Ten,Spades,King,Clubs,Eight,Nothing
Hearts,Ace,Hearts,King,Clubs,Jack,Diamonds,King,Clubs,Four,One_Pair
Clubs,Two,Hearts,King,Spades,Six,Spades,Seven,Spades,Jack,Nothing
Diamonds,Eight,Hearts,Three,Clubs,Ten,Diamonds,Queen,Spades,Ace,Nothing
Diamonds,Two,Diamonds,Jack,Hearts,Queen,Hearts,King,Diamonds,Nine,Nothing
Diamonds,King,Hearts,Two,Diamonds,Two,Hearts,Nine,Diamonds,Jack,One_Pair
Hearts,Queen,Spades,Ten,Hearts,Four,Hearts,Three,Hearts,Six,Nothing
Spades,Jack,Spades,Six,Clubs,Eight,Clubs,Seven,Spades,Queen,Nothing
Diamonds,Six,Spades,Jack,Diamonds,Two,Diamonds,Ten,Hearts,Jack,One_Pair
Hearts,Eight,Spades,Nine,Spades,Ten,Clubs,King,Diamonds,Ace,Nothing
Clubs,Eight,Spades,Jack,Spades,Queen,Diamonds,Three,Clubs,Jack,One_Pair
Diamonds,King,Hearts,Three,Spades,Seven,Hearts,Eight,Clubs,Eight,One_Pair
Hearts,Jack,Hearts,Ace,Diamonds,Ten,Clubs,Nine,Diamonds,Six,Nothing
Spades,King,Spades,Jack,Spades,Six,Clubs,Nine,Diamonds,Four,Nothing
Hearts,Jack,Hearts,Eight,Diamonds,Three,Spades,Seven,Hearts,Queen,Nothing
Hearts,Seven,Diamonds,Ace,Hearts,Five,Hearts,Ace,Spades,Three,One_Pair
Diamonds,Queen,Spades,Seven,Clubs,Four,Hearts,Two,Spades,Ten,Nothing
Clubs,Ten,Hearts,Four,Clubs,Two,Spades,Jack,Hearts,Ace,Nothing
Hearts,Four,Hearts,Queen,Hearts,Two,Clubs,Nine,Spades,Queen,One_Pair
Clubs,Ten,Diamonds,Nine,Diamonds,Queen,Spades,Two,Hearts,Jack,Nothing
Clubs,Jack,Hearts,Ace,Spades,Ace,Hearts,Three,Diamonds,Five,One_Pair
Diamonds,Seven,Clubs,Three,Clubs,Eight,Diamonds,Ten,Clubs,Two,Nothing
Diamonds,Ace,Diamonds,Ten,Hearts,Four,Spades,Ten,Spades,Three,One_Pair
Diamonds,King,Spades,Four,Spades,Nine,Spades,Three,Diamonds,Three,One_Pair
Diamonds,Jack,Spades,Ten,Diamonds,Queen,Hearts,Three,Hearts,Ten,One_Pair
Hearts,Two,Clubs,Queen,Diamonds,Six,Spades,Five,Clubs,Four,Nothing
Clubs,Two,Diamonds,Four,Clubs,Nine,Spades,Ace,Spades,Six,Nothing
Spades,Seven,Spades,Three,Diamonds,King,Hearts,Five,Clubs,Five,One_Pair
Spades,Nine,Clubs,Eight,Spades,Eight,Spades,Three,Spades,Seven,One_Pair
Clubs,Six,Clubs,Queen,Hearts,Two,Hearts,Eight,Spades,Seven,Nothing
Diamonds,Eight,Hearts,King,Hearts,Seven,Clubs,Seven,Diamonds,King,Two_Pairs
Diamonds,Nine,Hearts,King,Clubs,Eight,Clubs,Nine,Hearts,Six,One_Pair
Hearts,Jack,Hearts,Ten,Clubs,Ten,Diamonds,King,Hearts,King,Two_Pairs
Hearts,Jack,Hearts,Ten,Diamonds,Three,Clubs,Six,Diamonds,Four,Nothing
Diamonds,Nine,Diamonds,Ace,Hearts,Ten,Clubs,Five,Diamonds,Four,Nothing
Clubs,Queen,Diamonds,Ace,Spades,Ace,Hearts,Jack,Clubs,Jack,Two_Pairs
Clubs,Two,Hearts,Eight,Spades,Six,Spades,Ten,Diamonds,Eight,One_Pair
Clubs,Seven,Diamonds,Seven,Clubs,Nine,Clubs,Three,Clubs,Ten,One_Pair
Hearts,Queen,Clubs,Four,Spades,Nine,Diamonds,Six,Diamonds,Ace,Nothing
Diamonds,Seven,Spades,Seven,Diamonds,Four,Diamonds,Six,Hearts,Three,One_Pair
Clubs,Six,Spades,Nine,Clubs,Seven,Hearts,Eight,Diamonds,Eight,One_Pair
Clubs,Queen,Hearts,Three,Diamonds,Three,Clubs,Seven,Diamonds,Ten,One_Pair
Hearts,Jack,Spades,Six,Spades,Three,Clubs,Queen,Clubs,Jack,One_Pair
Diamonds,Eight,Diamonds,Six,Spades,Jack,Diamonds,Five,Spades,Four,Nothing
Diamonds,Four,Spades,Jack,Hearts,Nine,Spades,Ace,Diamonds,Eight,Nothing
Spades,Five,Hearts,Four,Clubs,Two,Clubs,Ten,Hearts,Six,Nothing
Clubs,Three,Diamonds,Five,Spades,Queen,Hearts,Two,Clubs,Four,Nothing
Diamonds,Six,Spades,King,Diamonds,Nine,Hearts,King,Hearts,Ten,One_Pair
Spades,Jack,Diamonds,Six,Clubs,Seven,Diamonds,Two,Diamonds,Jack,One_Pair
Hearts,Ace,Spades,Five,Diamonds,Ten,Hearts,Four,Hearts,Six,Nothing
Diamonds,Ten,Hearts,Eight,Hearts,Six,Clubs,Ace,Spades,Two,Nothing
Hearts,Six,Hearts,Four,Hearts,Ace,Clubs,Jack,Spades,King,Nothing
Spades,Nine,Spades,Four,Hearts,King,Hearts,Three,Diamonds,Two,Nothing
Diamonds,Ace,Spades,Nine,Spades,Eight,Spades,Six,Hearts,Ace,One_Pair
Clubs,Six,Hearts,Nine,Diamonds,Eight,Clubs,Ace,Clubs,Jack,Nothing
Diamonds,Seven,Hearts,Four,Spades,Two,Diamonds,Two,Spades,Queen,One_Pair
Spades,Seven,Spades,King,Diamonds,Ten,Hearts,Nine,Hearts,Ten,One_Pair
Clubs,Nine,Spades,Two,Hearts,Jack,Spades,Queen,Diamonds,Jack,One_Pair
Spades,Three,Diamonds,Four,Spades,Eight,Clubs,Four,Diamonds,Queen,One_Pair
Spades,Eight,Hearts,Six,Spades,Six,Spades,Seven,Diamonds,King,One_Pair
Hearts,Ace,Hearts,Queen,Clubs,Three,Clubs,Six,Diamonds,Ace,One_Pair
Spades,Queen,Clubs,Jack,Spades,Three,Diamonds,Ace,Diamonds,King,Nothing
Clubs,Ten,Hearts,Five,Diamonds,Seven,Clubs,Nine,Hearts,Nine,One_Pair
Clubs,Nine,Spades,King,Hearts,Three,Spades,Six,Diamonds,Five,Nothing
Hearts,Five,Clubs,Three,Clubs,Queen,Diamonds,Five,Spades,King,One_Pair
Clubs,Nine,Hearts,Queen,Clubs,Ace,Hearts,Four,Diamonds,Ace,One_Pair
Hearts,Eight,Spades,Eight,Hearts,Seven,Hearts,Queen,Spades,Four,One_Pair
Clubs,Five,Diamonds,Two,Spades,Seven,Hearts,Nine,Clubs,Queen,Nothing
Hearts,Eight,Spades,Two,Spades,Three,Clubs,Two,Spades,Seven,One_Pair
Hearts,Three,Spades,King,Diamonds,Four,Clubs,Five,Hearts,Five,One_Pair
Clubs,Four,Spades,Three,Diamonds,Queen,Hearts,Ten,Diamonds,Ten,One_Pair
Clubs,Four,Spades,Eight,Clubs,Queen,Hearts,Four,Diamonds,Two,One_Pair
Diamonds,King,Spades,Two,Clubs,King,Clubs,Six,Diamonds,Two,Two_Pairs
Clubs,Ten,Clubs,Three,Clubs,Six,Clubs,Ace,Spades,King,Nothing
