"scales","left-weight","left-distance","right-weight","right-distance"
"left","two","three","three","one"
"balanced","two","three","three","two"
"right","two","three","three","three"
"right","two","three","three","four"
"right","two","three","three","five"
"left","two","three","four","one"
"right","two","three","four","two"
"right","two","three","four","three"
"right","two","three","four","four"
"right","two","three","four","five"
"left","two","three","five","one"
"right","two","three","five","two"
"right","two","three","five","three"
"right","two","three","five","four"
"right","two","three","five","five"
"left","two","four","one","one"
"left","two","four","one","two"
"left","two","four","one","three"
"left","two","four","one","four"
"left","two","four","one","five"
"left","two","four","two","one"
"left","two","four","two","two"
"left","two","four","two","three"
"balanced","two","four","two","four"
"right","two","four","two","five"
"left","two","four","three","one"
"left","two","four","three","two"
"right","two","four","three","three"
"right","two","four","three","four"
"right","two","four","three","five"
"left","two","four","four","one"
"balanced","two","four","four","two"
"right","two","four","four","three"
"right","two","four","four","four"
"right","two","four","four","five"
"left","two","four","five","one"
"right","two","four","five","two"
"right","two","four","five","three"
"right","two","four","five","four"
"right","two","four","five","five"
"left","two","five","one","one"
"left","two","five","one","two"
"left","two","five","one","three"
"left","two","five","one","four"
"left","two","five","one","five"
"left","two","five","two","one"
"left","two","five","two","two"
"left","two","five","two","three"
"left","two","five","two","four"
"balanced","two","five","two","five"
"left","two","five","three","one"
"left","two","five","three","two"
"left","two","five","three","three"
"right","two","five","three","four"
"right","two","five","three","five"
"left","two","five","four","one"
"left","two","five","four","two"
"right","two","five","four","three"
"right","two","five","four","four"
"right","two","five","four","five"
"left","two","five","five","one"
"balanced","two","five","five","two"
"right","two","five","five","three"
"right","two","five","five","four"
"right","two","five","five","five"
"left","three","one","one","one"
"left","three","one","one","two"
"balanced","three","one","one","three"
"right","three","one","one","four"
"right","three","one","one","five"
"left","three","one","two","one"
"right","three","one","two","two"
"right","three","one","two","three"
"right","three","one","two","four"
"right","three","one","two","five"
"balanced","three","one","three","one"
"right","three","one","three","two"
"right","three","one","three","three"
"right","three","one","three","four"
"right","three","one","three","five"
"right","three","one","four","one"
"right","three","one","four","two"
"right","three","one","four","three"
"right","three","one","four","four"
"right","three","one","four","five"
"right","three","one","five","one"
"right","three","one","five","two"
"right","three","one","five","three"
"right","three","one","five","four"
"right","three","one","five","five"
"left","three","two","one","one"
"left","three","two","one","two"
"left","three","two","one","three"
"left","three","two","one","four"
"left","three","two","one","five"
"left","three","two","two","one"
"left","three","two","two","two"
"balanced","three","two","two","three"
"right","three","two","two","four"
"right","three","two","two","five"
"left","three","two","three","one"
"balanced","three","two","three","two"
"right","three","two","three","three"
"right","three","two","three","four"
"right","three","two","three","five"
"left","three","two","four","one"
"right","three","two","four","two"
"right","three","two","four","three"
"right","three","two","four","four"
"right","three","two","four","five"
"left","three","two","five","one"
"right","three","two","five","two"
"right","three","two","five","three"
"right","three","two","five","four"
"right","three","two","five","five"
"left","three","three","one","one"
"left","three","three","one","two"
"left","three","three","one","three"
"left","three","three","one","four"
"left","three","three","one","five"
"left","three","three","two","one"
"left","three","three","two","two"
"left","three","three","two","three"
"left","three","three","two","four"
"right","three","three","two","five"
"left","three","three","three","one"
"left","three","three","three","two"
"balanced","three","three","three","three"
"right","three","three","three","four"
"right","three","three","three","five"
"left","three","three","four","one"
"left","three","three","four","two"
"right","three","three","four","three"
"right","three","three","four","four"
"right","three","three","four","five"
"left","three","three","five","one"
"right","three","three","five","two"
"right","three","three","five","three"
"right","three","three","five","four"
"right","three","three","five","five"
"left","three","four","one","one"
"left","three","four","one","two"
"left","three","four","one","three"
"left","three","four","one","four"
"left","three","four","one","five"
"left","three","four","two","one"
"left","three","four","two","two"
"left","three","four","two","three"
"left","three","four","two","four"
"left","three","four","two","five"
"left","three","four","three","one"
"left","three","four","three","two"
"left","three","four","three","three"
"balanced","three","four","three","four"
"right","three","four","three","five"
"left","three","four","four","one"
"left","three","four","four","two"
"balanced","three","four","four","three"
"right","three","four","four","four"
"right","three","four","four","five"
"left","three","four","five","one"
"left","three","four","five","two"
"right","three","four","five","three"
"right","three","four","five","four"
"right","three","four","five","five"
"left","three","five","one","one"
"left","three","five","one","two"
"left","three","five","one","three"
"left","three","five","one","four"
"left","three","five","one","five"
"left","three","five","two","one"
"left","three","five","two","two"
"left","three","five","two","three"
"left","three","five","two","four"
"left","three","five","two","five"
"left","three","five","three","one"
"left","three","five","three","two"
"left","three","five","three","three"
"left","three","five","three","four"
"balanced","three","five","three","five"
"left","three","five","four","one"
"left","three","five","four","two"
"left","three","five","four","three"
"right","three","five","four","four"
"right","three","five","four","five"
"left","three","five","five","one"
"left","three","five","five","two"
"balanced","three","five","five","three"
"right","three","five","five","four"
"right","three","five","five","five"
"left","four","one","one","one"
"left","four","one","one","two"
"left","four","one","one","three"
"balanced","four","one","one","four"
"right","four","one","one","five"
"left","four","one","two","one"
"balanced","four","one","two","two"
"right","four","one","two","three"
"right","four","one","two","four"
"right","four","one","two","five"
"left","four","one","three","one"
"right","four","one","three","two"
"right","four","one","three","three"
"right","four","one","three","four"
"right","four","one","three","five"
"balanced","four","one","four","one"
"right","four","one","four","two"
"right","four","one","four","three"
"right","four","one","four","four"
"right","four","one","four","five"
"right","four","one","five","one"
"right","four","one","five","two"
"right","four","one","five","three"
"right","four","one","five","four"
"right","four","one","five","five"
"left","four","two","one","one"
"left","four","two","one","two"
"left","four","two","one","three"
"left","four","two","one","four"
"left","four","two","one","five"
"left","four","two","two","one"
"left","four","two","two","two"
"left","four","two","two","three"
"balanced","four","two","two","four"
"right","four","two","two","five"
"left","four","two","three","one"
"left","four","two","three","two"
"right","four","two","three","three"
"right","four","two","three","four"
"right","four","two","three","five"
"left","four","two","four","one"
"balanced","four","two","four","two"
"right","four","two","four","three"
"right","four","two","four","four"
"right","four","two","four","five"
"left","four","two","five","one"
"right","four","two","five","two"
"right","four","two","five","three"
"right","four","two","five","four"
"right","four","two","five","five"
"left","four","three","one","one"
"left","four","three","one","two"
"left","four","three","one","three"
"left","four","three","one","four"
"left","four","three","one","five"
"left","four","three","two","one"
"left","four","three","two","two"
"left","four","three","two","three"
"left","four","three","two","four"
"left","four","three","two","five"
"left","four","three","three","one"
"left","four","three","three","two"
"left","four","three","three","three"
"balanced","four","three","three","four"
"right","four","three","three","five"
"left","four","three","four","one"
"left","four","three","four","two"
"balanced","four","three","four","three"
"right","four","three","four","four"
"right","four","three","four","five"
"left","four","three","five","one"
"left","four","three","five","two"
"right","four","three","five","three"
"right","four","three","five","four"
"right","four","three","five","five"
"left","four","four","one","one"
"left","four","four","one","two"
"left","four","four","one","three"
"left","four","four","one","four"
"left","four","four","one","five"
"left","four","four","two","one"
"left","four","four","two","two"
"left","four","four","two","three"
"left","four","four","two","four"
"left","four","four","two","five"
"left","four","four","three","one"
"left","four","four","three","two"
"left","four","four","three","three"
"left","four","four","three","four"
"left","four","four","three","five"
"left","four","four","four","one"
"left","four","four","four","two"
"left","four","four","four","three"
"balanced","four","four","four","four"
"right","four","four","four","five"
"left","four","four","five","one"
"left","four","four","five","two"
"left","four","four","five","three"
"right","four","four","five","four"
"right","four","four","five","five"
"left","four","five","one","one"
"left","four","five","one","two"
"left","four","five","one","three"
"left","four","five","one","four"
"left","four","five","one","five"
"left","four","five","two","one"
"left","four","five","two","two"
"left","four","five","two","three"
"left","four","five","two","four"
"left","four","five","two","five"
"left","four","five","three","one"
"left","four","five","three","two"
"left","four","five","three","three"
"left","four","five","three","four"
"left","four","five","three","five"
"left","four","five","four","one"
"left","four","five","four","two"
"left","four","five","four","three"
"left","four","five","four","four"
"balanced","four","five","four","five"
"left","four","five","five","one"
"left","four","five","five","two"
"left","four","five","five","three"
"balanced","four","five","five","four"
"right","four","five","five","five"
"left","five","one","one","one"
"left","five","one","one","two"
"left","five","one","one","three"
"left","five","one","one","four"
"balanced","five","one","one","five"
"left","five","one","two","one"
"left","five","one","two","two"
"right","five","one","two","three"
"right","five","one","two","four"
"right","five","one","two","five"
"left","five","one","three","one"
"right","five","one","three","two"
"right","five","one","three","three"
"right","five","one","three","four"
"right","five","one","three","five"
"left","five","one","four","one"
"right","five","one","four","two"
"right","five","one","four","three"
"right","five","one","four","four"
"right","five","one","four","five"
"balanced","five","one","five","one"
"right","five","one","five","two"
"right","five","one","five","three"
"right","five","one","five","four"
"right","five","one","five","five"
"left","five","two","one","one"
"left","five","two","one","two"
"left","five","two","one","three"
"left","five","two","one","four"
"left","five","two","one","five"
"left","five","two","two","one"
"left","five","two","two","two"
"left","five","two","two","three"
"left","five","two","two","four"
"balanced","five","two","two","five"
"left","five","two","three","one"
"left","five","two","three","two"
"left","five","two","three","three"
"right","five","two","three","four"
"right","five","two","three","five"
"left","five","two","four","one"
"left","five","two","four","two"
"right","five","two","four","three"
"right","five","two","four","four"
"right","five","two","four","five"
"left","five","two","five","one"
"balanced","five","two","five","two"
"right","five","two","five","three"
"right","five","two","five","four"
"right","five","two","five","five"
"left","five","three","one","one"
"left","five","three","one","two"
"left","five","three","one","three"
"left","five","three","one","four"
"left","five","three","one","five"
"left","five","three","two","one"
"left","five","three","two","two"
"left","five","three","two","three"
"left","five","three","two","four"
"left","five","three","two","five"
"left","five","three","three","one"
"left","five","three","three","two"
"left","five","three","three","three"
"left","five","three","three","four"
"balanced","five","three","three","five"
"left","five","three","four","one"
"left","five","three","four","two"
"left","five","three","four","three"
"right","five","three","four","four"
"right","five","three","four","five"
"left","five","three","five","one"
"left","five","three","five","two"
"balanced","five","three","five","three"
"right","five","three","five","four"
"right","five","three","five","five"
"left","five","four","one","one"
"left","five","four","one","two"
"left","five","four","one","three"
"left","five","four","one","four"
"left","five","four","one","five"
"left","five","four","two","one"
"left","five","four","two","two"
"left","five","four","two","three"
"left","five","four","two","four"
"left","five","four","two","five"
"left","five","four","three","one"
"left","five","four","three","two"
"left","five","four","three","three"
"left","five","four","three","four"
"left","five","four","three","five"
"left","five","four","four","one"
"left","five","four","four","two"
"left","five","four","four","three"
"left","five","four","four","four"
"balanced","five","four","four","five"
"left","five","four","five","one"
"left","five","four","five","two"
"left","five","four","five","three"
"balanced","five","four","five","four"
"right","five","four","five","five"
"left","five","five","one","one"
"left","five","five","one","two"
"left","five","five","one","three"
"left","five","five","one","four"
"left","five","five","one","five"
"left","five","five","two","one"
"left","five","five","two","two"
"left","five","five","two","three"
"left","five","five","two","four"
"left","five","five","two","five"
"left","five","five","three","one"
"left","five","five","three","two"
"left","five","five","three","three"
"left","five","five","three","four"
"left","five","five","three","five"
"left","five","five","four","one"
"left","five","five","four","two"
"left","five","five","four","three"
"left","five","five","four","four"
"left","five","five","four","five"
"left","five","five","five","one"
"left","five","five","five","two"
"left","five","five","five","three"
"left","five","five","five","four"
"balanced","five","five","five","five"
